Name,Price,Second-hand,Listing date,Month
ASUS ZenFone 6 ZS630KL 128GB,14700.0,10700.0,2019/06,11
ASUS ZenFone 5Z ZS620KL 128GB,9000.0,6500.0,2018/06,23
ASUS ROG Phone II ZS660KL,25000.0,20800.0,2019/08,9
ASUS ZenFone Max M2 ZB633KL 64GB,5100.0,3999.0,2019/05,12
ASUS ZenFone Max Pro 2019 ZB602KL,3350.0,,2019/08,9
ASUS ROG Phone ZS600KL 512GB,9190.0,10700.0,2018/09,20
ASUS ZenFone Max Pro ZB602KL 128GB,6000.0,,2019/02,15
ASUS ZenFone Max Pro ZB602KL 32GB,3400.0,,2018/07,22
ASUS ZenFone Max (M1) ZB555KL 32GB,2880.0,,2018/06,23
ASUS ZenFone 6 ZS630KL 256GB,16700.0,,2019/06,11
ASUS ZenFone 6 ZS630KL 512GB,17500.0,,2020/01,4
ASUS ZenFone Live (L2) ZA550KL,2500.0,,2019/05,12
ASUS ROG Phone II ZS660KL 旗艦版,30400.0,,2019/11,6
ASUS ZenFone 6 Edition 30 ZS630KL,18620.0,,2019/08,9
ASUS ZenFone 5 ZE620KL,11990.0,,2018/04,25
ASUS ZenFone Max Pro M2 ZB631KL,7100.0,5800.0,2019/02,15
ASUS ZenFone 3 ZE552KL,9990.0,7700.0,2016/07,46
ASUS ZenFone 4 ZE554KL (4GB/64GB),5100.0,,2017/08,33
ASUS ROG Phone ZS600KL 128GB,11900.0,10000.0,2018/10,19
ASUS ZenFone Live (L1) ZA550KL,2150.0,2000.0,2018/07,22
ASUS ZenFone V,,,2018/07,22
ASUS 飛馬手機 X002,,,2018/07,22
ASUS ZenFone Max Plus (M2) ZB634KL,,,2018/07,22
