Name,Price,Second-hand,Listing date,Month
Apple iPhone SE (2020) 64GB,13290,13500.0,2020/04,1
Apple iPhone 11 128GB,23590,20099.0,2019/09,8
Apple iPhone 8 Plus 64GB,16890,10220.0,2017/09,32
Apple iPhone 7 Plus 128GB,13700,8316.0,2016/09,44
Apple iPhone 11 64GB,21690,19355.0,2019/09,8
Apple iPhone XR 64GB,19000,13920.0,2018/10,19
Apple iPhone 11 Pro Max 256GB,39200,36800.0,2019/09,8
Apple iPhone SE (2020) 128GB,15290,14000.0,2020/04,1
Apple iPhone XS 64GB,22000,17038.0,2018/09,20
Apple iPhone XS Max 64GB,25600,19464.0,2018/09,20
Apple iPhone 7 128GB,11800,6074.0,2016/09,44
Apple iPhone 8 64GB,14290,8026.0,2017/09,32
Apple iPhone 11 Pro 256GB,35790,30450.0,2019/09,8
Apple iPhone XR 128GB,19700,15179.0,2018/10,19
Apple iPhone 11 Pro 64GB,30690,27400.0,2019/09,8
Apple iPhone 8 Plus 128GB,19290,17300.0,2019/09,8
Apple iPhone SE (2020) 256GB,18690,,2020/04,1
Apple iPhone 11 256GB,27000,26167.0,2019/09,8
Apple iPhone XS 256GB,24990,17331.0,2018/09,20
Apple iPhone XS Max 256GB,28900,20594.0,2018/09,20
Apple iPhone 8 Plus 256GB,20850,11981.0,2017/09,32
Apple iPhone 11 Pro Max 64GB,34300,31475.0,2019/09,8
Apple iPhone 8 128GB,15300,11800.0,2019/09,8
Apple iPhone 11 Pro Max 512GB,44300,38500.0,2019/09,8
Apple iPhone 7 Plus 32GB,12300,7511.0,2016/09,44
Apple iPhone 7 32GB,9990,5014.0,2016/09,44
Apple iPhone XR 256GB,20300,15667.0,2018/10,19
Apple iPhone 11 Pro 512GB,40400,41000.0,2019/09,8
Apple iPhone 8 256GB,17200,9826.0,2017/09,32
Apple iPhone XS 512GB,28790,,2018/09,20
Apple iPhone X 64GB,26900,13042.0,2017/11,30
Apple iPhone 6S Plus 64GB,11500,6479.0,2015/10,55
Apple iPhone 6 Plus 64GB,29500,,2014/09,68
Apple iPhone 6S 64GB,10500,5423.0,2015/10,55
Apple iPhone SE 128GB,11800,6900.0,2017/03,38
Apple iPhone X 256GB,24300,15223.0,2017/11,30
