Name,Price,Second-hand,Listing date,Month
Google Pixel 4 XL 128GB,27600.0,,2019/10,7
Google Pixel 4 64GB,20600.0,,2019/10,7
Google Pixel 3 64GB,27700.0,,2018/11,18
Google Pixel 3 XL 128GB,34100.0,,2018/11,18
Google Pixel 4 128GB,23600.0,,2019/10,7
Google Pixel 4 XL 64GB,25500.0,,2019/10,7
Google Pixel 3 XL 64GB,31100.0,,2018/11,18
Google Pixel 3 128GB,30700.0,,2018/11,18
Google Pixel 3a,14500.0,11500.0,2019/05,12
Google Pixel 3a XL,17100.0,,2019/05,12
Google Nexus 6P 32GB,19500.0,,2015/11,54
Google Nexus 5X 16GB,12900.0,,2015/11,54
Google Pixel 2 64GB,,,2015/11,54
Google Pixel 2 XL 64GB,,,2015/11,54
Google Pixel XL 128GB,,,2015/11,54
Google Pixel 32GB,,,2015/11,54
