Name,Price,Second-hand,Listing date
HTC Desire 19s 64GB,4300,Nan,2020/02
HTC U19e,8800,Nan,2019/06
HTC U12 life 64GB,4200,2500,2018/10
HTC Desire 19+ 64GB,5190,Nan,2019/07
HTC U12+ 128GB,11300,11000,2018/06
HTC U12+ 64GB,10400,9500,2018/06
HTC Desire 19+ 128GB,5490,4900,2019/07
HTC Desire 12+,3200,2990,2018/06
HTC U12 life 128GB,5390,Nan,2018/12
HTC Desire 19s 32GB,4100,Nan,2019/11
HTC Desire 12s 64GB,4200,Nan,2019/01
HTC EXODUS 1s,3990,Nan,2019/10
HTC EXODUS 1,21900,Nan,2019/03
HTC EXODUS 1-Binance,18900,Nan,2019/03
HTC U11 64GB,19900,Nan,2017/05
HTC U Ultra,23900,5000,2017/01
HTC 10 32GB,22900,Nan,2016/04
HTC Desire 728 dual sim,7990,Nan,2015/10
HTC One M8 16GB,21900,Nan,2014/03
HTC U11+ 64GB,19900,Nan,2017/11
HTC U11 life 64GB,Nan,Nan,2017/11
HTC Desire 7060,Nan,Nan,2017/11
HTC Wildfire X 128GB,Nan,Nan,2017/11
HTC U11 life 32GB,Nan,Nan,2017/11
HTC EVO 4G,Nan,Nan,2017/11
