Name,Price,Second-hand,Listing date,Month
HUAWEI Y9 Prime 2019,5390.0,4900.0,2019/09,8
HUAWEI Mate 20 Pro,15520.0,9800.0,2018/10,19
HUAWEI Mate 20 X,16900.0,,2019/01,16
HUAWEI Y9 2019,4820.0,4100.0,2018/10,19
HUAWEI Mate 20 X 5G,24600.0,,2019/11,6
HUAWEI nova 4e,5600.0,,2019/04,13
HUAWEI Y6 Pro 2019,3100.0,,2019/04,13
HUAWEI Mate 10,14300.0,,2017/11,30
HUAWEI P20,15100.0,8990.0,2018/05,24
HUAWEI Mate 10 Pro,13349.0,,2017/11,30
HUAWEI nova 2i,4299.0,,2017/11,30
HUAWEI Y7s,3300.0,,2018/05,24
HUAWEI Y6 2018,2700.0,,2018/06,23
HUAWEI Y7 Prime 2018,3170.0,,2018/06,23
HUAWEI Mate 10 保時捷設計款,43000.0,,2018/02,27
HUAWEI P40,,,2018/02,27
HUAWEI P20 Pro,26900.0,13600.0,2018/05,24
HUAWEI nova 5T,10900.0,9900.0,2019/10,7
HUAWEI P30,15200.0,14000.0,2019/04,13
HUAWEI nova 3i,10990.0,,2018/08,21
HUAWEI nova 3,15990.0,,2018/08,21
HUAWEI Mate 20,22900.0,,2018/10,19
HUAWEI Honor 20 Lite,,,2018/10,19
HUAWEI P40 Pro+,,,2018/10,19
HUAWEI P40 Pro,,,2018/10,19
HUAWEI 榮耀 Note 10 (8GB/128GB),,,2018/10,19
HUAWEI nova 7i,,,2018/10,19
HUAWEI Mate 30 Pro,29900.0,,2018/10,19
