Name,Price,Second-hand,Listing date
LG K51S,5600,Nan,2020/05
LG G8X ThinQ,19800,Nan,2019/12
LG K61,7790,Nan,2020/05
LG V40 ThinQ,14900,Nan,2019/01
LG G6,7790,8999,2017/05
LG Q60,3890,3130,2019/07
LG G7+ ThinQ,11000,4999,2018/07
LG V30+,14880,Nan,2017/12
LG Q7+,4890,Nan,2018/08
LG V30S ThinQ,11800,Nan,2018/05
LG Q6,3800,Nan,2017/10
LG Q7+ BTS Edition,11900,Nan,2018/12
LG K9,2490,Nan,2018/10
LG K11+,4999,Nan,2018/11
LG V60 ThinQ,33900,Nan,2018/11
LG Velvet,Nan,Nan,2018/11
LG G8S ThinQ,14500,Nan,2019/07
LG V20,21900,7200,2016/11
LG G5,23900,Nan,2016/04
LG G4,20900,Nan,2015/06
LG K4 (2017),3990,Nan,2017/04
LG V10,23900,Nan,2015/11
LG K50S,Nan,Nan,2015/11
LG V50 ThinQ,Nan,Nan,2015/11
LG G8 ThinQ,Nan,Nan,2015/11
LG G7 ThinQ,Nan,Nan,2015/11
LG V30,Nan,Nan,2015/11
LG V50S ThinQ,Nan,Nan,2015/11
