Name,Price,Second-hand,Listing date
Nokia 5.3,5690,Nan,2020/05
Nokia 7.2,7700,Nan,2019/10
Nokia 8.1,6500,Nan,2018/12
Nokia 8,9400,Nan,2017/10
Nokia 6.1 Plus,6500,Nan,2018/08
Nokia 5.1 Plus,4500,Nan,2018/09
Nokia 7 Plus,8900,Nan,2018/04
Nokia 3.1 Plus,3100,Nan,2018/12
Nokia 2720 Flip,2790,Nan,2019/10
Nokia 3310 2017 3G,1100,Nan,2017/11
Nokia 8110 4G,1900,Nan,2018/07
Nokia X71,9500,Nan,2019/04
Nokia 6,7790,Nan,2017/03
Nokia 6.1,5000,Nan,2018/04
Nokia 9 PureView,20990,Nan,2019/05
Nokia 5,5390,2300,2017/07
Nokia 3,3990,Nan,2017/07
Nokia 8.3 5G,Nan,Nan,2017/07
Nokia 2.3,Nan,Nan,2017/07
Nokia 6.2 64GB,Nan,Nan,2017/07
Nokia 7.1 64GB,Nan,Nan,2017/07
Nokia 3310 4G,Nan,Nan,2017/07
Nokia X6 (6GB/64GB),Nan,Nan,2017/07
