Name,Price,Second-hand,Listing date,Month
OPPO Reno2 Z,8900.0,8126.0,2019/10,7
OPPO A5 2020,4500.0,4000.0,2019/10,7
OPPO A9 2020 (8GB/128GB),7900.0,6493.0,2019/10,7
OPPO Reno2,15890.0,11950.0,2019/10,7
OPPO Reno Z,7900.0,7056.0,2019/06,11
OPPO R17,7500.0,6545.0,2018/11,18
OPPO AX5s (3GB/64GB),3800.0,3667.0,2019/04,13
OPPO Reno 10 倍變焦版 (8GB/256GB),18890.0,14000.0,2019/06,11
OPPO A9 2020 (4GB/128GB),6290.0,,2019/10,7
OPPO R11s,6990.0,4400.0,2017/12,29
OPPO Reno 10 倍變焦版 (12GB/256GB),22390.0,16500.0,2019/11,6
OPPO AX5s (4GB/64GB),4300.0,,2019/04,13
OPPO A3,5290.0,,2018/06,23
OPPO Reno 巴薩限量版,9520.0,12500.0,2019/07,10
OPPO Find X2 Pro,,,2019/07,10
OPPO Find X2,,,2019/07,10
OPPO R15,6500.0,4793.0,2018/05,24
OPPO R11,15990.0,5150.0,2017/07,34
OPPO R9s,5990.0,3933.0,2016/12,41
OPPO A73,5300.0,3450.0,2018/01,28
OPPO A57,7990.0,3700.0,2017/04,37
OPPO R15 Pro,7900.0,5450.0,2018/05,24
OPPO Reno3 Pro,,,2018/05,24
OPPO A92s,,,2018/05,24
OPPO A31 2020,,,2018/05,24
OPPO Reno Ace,,,2018/05,24
OPPO A91,,,2018/05,24
OPPO A11 2019,,,2018/05,24
