Name,Price,Second-hand,Listing date
SAMSUNG Galaxy A71,11190,Nan,2020/02
SAMSUNG Galaxy A51,8390,7333,2020/01
SAMSUNG Galaxy A31,7600,Nan,2020/05
SAMSUNG Galaxy M11,3990,Nan,2020/05
SAMSUNG Galaxy A70,8200,7140,2019/05
SAMSUNG Galaxy A20,3750,2850,2019/04
SAMSUNG Galaxy Note 10 Lite,15000,14600,2020/02
SAMSUNG Galaxy S20 5G,23700,23500,2020/03
SAMSUNG Galaxy Note 10+ 256GB,25200,22209,2019/08
SAMSUNG Galaxy A30s,5800,4967,2019/10
SAMSUNG Galaxy Note 10,22800,19567,2019/08
SAMSUNG Galaxy A60,6750,6260,2019/06
SAMSUNG Galaxy S10,18400,13473,2019/03
SAMSUNG Galaxy S20 Ultra 5G 256GB,32700,31833,2020/03
SAMSUNG Galaxy S10+,20500,16163,2019/03
SAMSUNG Galaxy S20+ 5G,28200,25000,2020/03
SAMSUNG Galaxy Note 9 128GB,18500,13355,2018/08
SAMSUNG Galaxy A7 (2018),6500,4200,2018/10
SAMSUNG Galaxy A80,12990,11000,2019/06
SAMSUNG Galaxy A9 (2018),7500,6858,2018/12
SAMSUNG Galaxy Z Flip,43400,34250,2020/02
SAMSUNG Galaxy Fold,67000,Nan,2020/01
SAMSUNG Galaxy S20 Ultra 5G 512GB,41900,Nan,2020/03
SAMSUNG Galaxy Note 10+ 512GB,32000,Nan,2019/08
SAMSUNG Galaxy S10+ 陶瓷版 512GB,27900,Nan,2019/03
SAMSUNG Galaxy S10+ 陶瓷版 1TB,30990,Nan,2019/03
SAMSUNG Galaxy Note 9 512GB,24500,17000,2018/08
SAMSUNG Galaxy Note 9 黑色沙漠限量版,31400,Nan,2018/08
SAMSUNG Galaxy A21s,6990,Nan,2018/08
SAMSUNG Galaxy Note 8,29900,9138,2017/09
SAMSUNG Galaxy A30,8990,Nan,2019/03
SAMSUNG Galaxy S10e,15900,15000,2019/03
SAMSUNG GALAXY J7,7990,Nan,2015/08
SAMSUNG Galaxy S8,24900,16990,2017/05
SAMSUNG GALAXY Note 5 32GB,23880,5833,2015/08
SAMSUNG Galaxy A90 5G (6GB/128GB),Nan,Nan,2015/08
SAMSUNG Galaxy A10,Nan,Nan,2015/08
SAMSUNG Galaxy A40,Nan,Nan,2015/08
SAMSUNG Galaxy A11,Nan,Nan,2015/08
SAMSUNG Galaxy A10s,Nan,Nan,2015/08
SAMSUNG Galaxy A20s,Nan,Nan,2015/08
