Name,Price,Second-hand,Listing date
SHARP AQUOS Zero 2,21990,Nan,2020/05
SHARP AQUOS V,4800,Nan,2019/11
SHARP AQUOS zero,9500,Nan,2019/01
SHARP AQUOS R3,16990,18500,2019/08
SHARP AQUOS R5G,Nan,Nan,2019/08
SHARP AQUOS S3 標配版,11990,Nan,2018/04
SHARP AQUOS S2 標配版,12990,Nan,2017/08
SHARP M1,8990,Nan,2016/08
SHARP Z2 抓寶機,8990,Nan,2016/09
SHARP AQUOS S2 高配版,15990,Nan,2017/10
SHARP AQUOS S3 高配版,8950,Nan,2018/06
SHARP SH-01D(貿),Nan,Nan,2018/06
SHARP NEC N-02B(貿),Nan,Nan,2018/06
SHARP AQUOS sense2,Nan,Nan,2018/06
SHARP AQUOS R2,Nan,Nan,2018/06
SHARP AQUOS R,Nan,Nan,2018/06
SHARP AQUOS R2 Compact,Nan,Nan,2018/06
