Name,Price,Second-hand,Listing date
SUGAR T30,4990,Nan,2020/05
SUGAR Y12s,2000,Nan,2018/07
SUGAR C13,2800,Nan,2019/02
SUGAR T50,5300,Nan,2019/06
SUGAR S20,4400,Nan,2018/12
SUGAR P1,2570,Nan,2018/09
SUGAR S11,4150,3900,2018/02
SUGAR T10,3490,Nan,2019/06
SUGAR Y18,3990,Nan,2020/01
SUGAR Y8 MAX,2250,1900,2018/02
SUGAR Y12,2800,Nan,2018/01
SUGAR F20,9900,Nan,2019/04
SUGAR C11s,2899,2100,2017/11
SUGAR S20s,3100,Nan,2018/09
SUGAR C11,2990,Nan,2017/11
SUGAR P11,3200,Nan,2019/08
SUGAR Y8 MAX Pro,2400,Nan,2019/03
SUGAR Y16,4490,Nan,2019/01
SUGAR C12,3299,Nan,2018/07
SUGAR S9,9900,Nan,2017/04
SUGAR Y7 MAX,6990,Nan,2017/01
SUGAR F7 mini,7490,Nan,2017/01
SUGAR C6,8490,Nan,2016/07
SUGAR C7,8990,Nan,2016/09
SUGAR S 32GB,9490,Nan,2016/07
SUGAR S30,Nan,Nan,2016/07
SUGAR Y7 Pro,Nan,Nan,2016/07
SUGAR SOAP R11 64GB,Nan,Nan,2016/07
SUGAR 2,Nan,Nan,2016/07
SUGAR MACARON,Nan,Nan,2016/07
SUGAR F9,Nan,Nan,2016/07
