Name,Price,Second-hand,Listing date,Month
vivo Y19,4700.0,,2019/12,5
vivo Y12,3400.0,2900.0,2019/11,6
vivo V17 Pro,9100.0,7500.0,2019/11,6
vivo Y50 (8GB/128GB),8900.0,,2020/06,-1
vivo S1,5990.0,4000.0,2019/08,9
vivo Y17,4600.0,3700.0,2019/07,10
vivo NEX 3,23300.0,18450.0,2019/10,7
vivo V15,5900.0,4400.0,2019/04,13
vivo NEX 雙螢幕版,16800.0,,2019/01,16
vivo V15 Pro,6800.0,4900.0,2019/05,12
vivo V11,5200.0,,2018/11,18
vivo Y95,4400.0,,2019/01,16
vivo Y15 2020,5990.0,,2019/01,16
vivo Y50 (6GB/128GB),7990.0,,2019/01,16
vivo V9,5300.0,,2018/05,24
vivo NEX 旗艦版,14500.0,,2018/08,21
vivo X21 螢幕指紋版,7500.0,,2018/05,24
vivo Y81,3399.0,,2018/10,19
vivo V7+,5000.0,,2017/12,29
vivo V7,9900.0,,2017/12,29
vivo X30 Pro,,,2017/12,29
vivo V19,,,2017/12,29
vivo iQOO 3,,,2017/12,29
vivo iQOO (8GB/128GB),,,2017/12,29
vivo X27 Pro,,,2017/12,29
vivo APEX 2020,,,2017/12,29
