Name,Price,Second-hand,Listing date,Month
小米 紅米 Note 8 Pro 64GB,6350.0,,2019/10,7
小米 紅米 Note 8T 64GB,3990.0,,2019/11,6
小米 小米 9T Pro,13800.0,,2019/08,9
小米 小米 9T,9390.0,7900.0,2019/07,10
小米 紅米 Note 8 Pro 128GB,7290.0,,2019/10,7
小米 小米 9,13290.0,8000.0,2019/04,13
小米 紅米 Note 8T 32GB,3800.0,,2019/11,6
小米 紅米 Note 7 64GB,5600.0,,2019/04,13
小米 小米 Max 3,5900.0,,2018/08,21
小米 小米 A3,6800.0,,2019/08,9
小米 紅米 Note 7 128GB,6290.0,4500.0,2019/04,13
小米 小米 8 Pro 螢幕指紋版,13470.0,,2018/10,19
小米 小米 MIX 2 64GB,7800.0,,2017/10,31
小米 小米 Note 10,,,2017/10,31
小米 小米 8,12000.0,,2018/07,22
小米 紅米 Note 4X 64GB,5999.0,,2017/04,37
小米 紅米 Note 5 (4GB/64GB),6999.0,,2018/05,24
小米 紅米 Note 4,5999.0,,2016/09,44
小米 小米 6,12699.0,,2017/08,33
小米 小米 8 Lite,7600.0,7500.0,2018/11,18
小米 紅米 Note 9 Pro,,,2018/11,18
小米 小米 10 Pro,,,2018/11,18
小米 紅米 8,,,2018/11,18
小米 小米 10 Lite,,,2018/11,18
小米 紅米 Note 9 Pro Max,,,2018/11,18
小米 紅米 K30 5G,,,2018/11,18
