手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
ASUS ZenFone 6 ZS630KL 128GB,15800,10700.0,2019/06,12,Snapdragon 855,6 GB,128 GB,microSD,2 TB,5000 mAh,6.4 inch,2340x1080 pixels,403 ppi,IPS,4800 萬畫素,1.79,190 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_6_zs630kl/14837
ASUS ZenFone Max Pro M2 ZB631KL (6GB/64GB),6200,,2020/06,0,Snapdragon 660,6 GB,64 GB,microSD,2 TB,5000 mAh,6.3 inch,2280x1080 pixels,400 ppi,IPS,1200 萬畫素,1.8,175 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_pro_m2/15420
ASUS ZenFone 5Z ZS620KL 128GB,8900,6500.0,2018/06,24,Snapdragon 845,6 GB,128 GB,microSD,2 TB,3300 mAh,6.2 inch,2246x1080 pixels,402 ppi,Super IPS+,1200 萬畫素,1.8,165 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_5z/13774
ASUS ROG Phone ZS600KL 512GB,12950,10700.0,2018/09,21,Snapdragon 845,8 GB,512 GB,,,4000 mAh,6 inch,2160x1080 pixels,402 ppi,AMOLED,1200 萬畫素,1.7,200 g,,Yes,https://www.sogi.com.tw/products/asus_rog_phone/13955
ASUS ROG Phone II ZS660KL 旗艦版,29500,,2019/11,7,Snapdragon 855+,12 GB,1 TB,,,6000 mAh,6.59 inch,2340x1080 pixels,391 ppi,AMOLED,4800 萬畫素,1.79,240 g,,Yes,https://www.sogi.com.tw/products/asus_rog_phone_2_zs660kl/15123
ASUS ZenFone Max M2 ZB633KL 64GB,5200,,2019/05,13,Snapdragon 632,4 GB,64 GB,microSD,2 TB,4000 mAh,6.3 inch,1520x720 pixels,267 ppi,IPS,1300 萬畫素,1.8,160 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_m2/14836
ASUS ZenFone Max Pro ZB602KL 128GB,5800,,2019/02,16,Snapdragon 636,4 GB,128 GB,microSD,2 TB,5000 mAh,6 inch,2160x1080 pixels,402 ppi,IPS,1600 萬畫素,2.0,180 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_pro_m1/14542
ASUS ZenFone Max Pro ZB602KL 32GB,3500,,2018/07,23,Snapdragon 636,3 GB,32 GB,microSD,2 TB,5000 mAh,6 inch,2160x1080 pixels,402 ppi,IPS,1600 萬畫素,2.0,180 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_pro_m1/13863
ASUS ZenFone 6 ZS630KL 512GB,17000,,2020/01,5,Snapdragon 855,8 GB,512 GB,microSD,2 TB,5000 mAh,6.4 inch,2340x1080 pixels,403 ppi,IPS,4800 萬畫素,1.79,190 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_6_zs630kl/15324
ASUS ZenFone Max (M1) ZB555KL 32GB,2880,,2018/06,24,Snapdragon 425,2 GB,32 GB,microSD,256 GB,4000 mAh,5.5 inch,1440x720 pixels,293 ppi,,1300 萬畫素,2.0,150 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_m1/13776
ASUS ZenFone Max Pro 2019 ZB602KL,3450,,2019/08,10,Snapdragon 636,3 GB,32 GB,microSD,2 TB,5000 mAh,6 inch,2160x1080 pixels,,IPS,1300 萬畫素,2.0,180 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_pro_2019/15061
ASUS ZenFone 6 ZS630KL 256GB,16900,,2019/06,12,Snapdragon 855,8 GB,256 GB,microSD,2 TB,5000 mAh,6.4 inch,2340x1080 pixels,403 ppi,IPS,4800 萬畫素,1.79,190 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_6_zs630kl/14813
ASUS ZenFone Live (L2) ZA550KL,2400,,2019/05,13,Snapdragon 425,2 GB,16 GB,microSD,2 TB,3000 mAh,5.5 inch,1440x720 pixels,293 ppi,IPS,800 萬畫素,2.0,140 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_live_l2/14752
ASUS ZenFone 6 Edition 30 ZS630KL,18620,,2019/08,10,Snapdragon 855,12 GB,512 GB,microSD,2 TB,5000 mAh,6.4 inch,2340x1080 pixels,403 ppi,IPS,4800 萬畫素,1.79,190 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_6_edition_30/14873
