手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
Apple iPhone SE (2020) 64GB,12900,11998.0,2020/04,2,A13 Bionic,,64 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,148 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_se_2020/15376
Apple iPhone 11 128GB,23500,20676.0,2019/09,9,A13 Bionic,,128 GB,,,,6.1 inch,1792x828 pixels,324 ppi,IPS,1200 萬畫素,1.8,194 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11/15160
Apple iPhone 7 Plus 128GB,13890,8250.0,2016/09,45,A10 Fusion,,128 GB,,,,5.5 inch,1920x1080 pixels,401 ppi,IPS,1200 萬畫素,1.8,188 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_7_plus/12763
Apple iPhone 8 Plus 64GB,16890,10037.0,2017/09,33,A11 Bionic,,64 GB,,,,5.5 inch,1920x1080 pixels,401 ppi,IPS,1200 萬畫素,1.8,202 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_8_plus/13503
Apple iPhone 11 64GB,21600,19399.0,2019/09,9,A13 Bionic,,64 GB,,,,6.1 inch,1792x828 pixels,324 ppi,IPS,1200 萬畫素,1.8,194 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11/15162
Apple iPhone XR 64GB,18800,13581.0,2018/10,20,A12 Bionic,,64 GB,,,,6.1 inch,1792x828 pixels,324 ppi,LCD,1200 萬畫素,1.8,194 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_xr/14171
Apple iPhone SE (2020) 128GB,14600,13833.0,2020/04,2,A13 Bionic,,128 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,148 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_se_2020/15377
Apple iPhone 11 Pro Max 256GB,38800,36100.0,2019/09,9,A13 Bionic,,256 GB,,,,6.5 inch,2688x1242 pixels,456 ppi,OLED,1200 萬畫素,1.8,226 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11_pro_max/15158
Apple iPhone 8 64GB,14290,7844.0,2017/09,33,A11 Bionic,,64 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,148 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_8/13502
Apple iPhone XS 64GB,21500,16446.0,2018/09,21,A12 Bionic,,64 GB,,,,5.8 inch,2436x1125 pixels,463 ppi,OLED,1200 萬畫素,1.8,177 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_xs/14164
Apple iPhone XS Max 64GB,25800,19250.0,2018/09,21,A12 Bionic,,64 GB,,,,6.5 inch,2688x1242 pixels,456 ppi,OLED,1200 萬畫素,1.8,208 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_xs_max/14165
Apple iPhone 7 128GB,11500,6061.0,2016/09,45,A10 Fusion,,128 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,138 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_7/12760
Apple iPhone XR 128GB,19500,14860.0,2018/10,20,A12 Bionic,,128 GB,,,,6.1 inch,1792x828 pixels,324 ppi,LCD,1200 萬畫素,1.8,194 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_xr/14172
Apple iPhone 11 Pro 256GB,35800,32700.0,2019/09,9,A13 Bionic,,256 GB,,,,5.8 inch,2436x1125 pixels,463 ppi,OLED,1200 萬畫素,1.8,188 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11_pro/15156
Apple iPhone 11 256GB,27000,24998.0,2019/09,9,A13 Bionic,,256 GB,,,,6.1 inch,1792x828 pixels,324 ppi,IPS,1200 萬畫素,1.8,194 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11/15152
Apple iPhone 11 Pro 64GB,30690,27567.0,2019/09,9,A13 Bionic,,64 GB,,,,5.8 inch,2436x1125 pixels,463 ppi,OLED,1200 萬畫素,1.8,188 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11_pro/15157
