手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
HTC Desire 20 pro,8000,,2020/06,0,Snapdragon 665,6 GB,128 GB,microSD,2 TB,5000 mAh,6.5 inch,2160x1080 pixels,372 ppi,,4800 萬畫素,1.8,201 g,,Yes,https://www.sogi.com.tw/products/htc_desire_20_pro/15426
HTC U12+ 64GB,10400,9500.0,2018/06,24,Snapdragon 845,6 GB,64 GB,microSD,2 TB,3500 mAh,6 inch,2880x1440 pixels,537 ppi,Super LCD 6,1200 萬畫素,1.75,188 g,IP68,,https://www.sogi.com.tw/products/htc_u12_plus/13879
HTC U19e,8800,,2019/06,12,Snapdragon 710,6 GB,128 GB,microSD,2 TB,3930 mAh,6 inch,2160x1080 pixels,402 ppi,OLED,2000 萬畫素,2.6,180 g,,,https://www.sogi.com.tw/products/htc_u19e/14908
HTC Desire 19s 64GB,4590,,2020/02,4,Helio P22,4 GB,64 GB,microSD,2 TB,3850 mAh,6.2 inch,1520x720 pixels,271 ppi,Super LCD (SLCD),1300 萬畫素,1.85,170 g,,Yes,https://www.sogi.com.tw/products/htc_desire_19s/15286
HTC U12+ 128GB,11100,11000.0,2018/06,24,Snapdragon 845,6 GB,128 GB,microSD,2 TB,3500 mAh,6 inch,2880x1440 pixels,537 ppi,Super LCD 6,1200 萬畫素,1.75,188 g,IP68,,https://www.sogi.com.tw/products/htc_u12_plus/13880
HTC U12 life 64GB,4500,,2018/10,20,Snapdragon 636,4 GB,64 GB,microSD,,3600 mAh,6 inch,2160x1080 pixels,402 ppi,,1600 萬畫素,2.0,175 g,,Yes,https://www.sogi.com.tw/products/htc_u12_life/14111
HTC Desire 19+ 128GB,5700,,2019/07,11,Helio P35,6 GB,128 GB,microSD,2 TB,3850 mAh,6.2 inch,1520x720 pixels,271 ppi,Super LCD (SLCD),1300 萬畫素,1.85,170 g,,Yes,https://www.sogi.com.tw/products/htc_desire_19_plus/14907
HTC Desire 12+,3200,2990.0,2018/06,24,Snapdragon 450,3 GB,32 GB,microSD,2 TB,2965 mAh,6 inch,1440x720 pixels,268 ppi,IPS,1300 萬畫素,2.2,157.5 g,,Yes,https://www.sogi.com.tw/products/htc_desire_12_plus/13805
HTC Desire 19s 32GB,4100,,2019/11,7,Helio P22,3 GB,32 GB,microSD,2 TB,3850 mAh,6.2 inch,1520x720 pixels,271 ppi,Super LCD (SLCD),1300 萬畫素,1.85,170 g,,Yes,https://www.sogi.com.tw/products/htc_desire_19s/15243
HTC U12 life 128GB,5390,,2018/12,18,Snapdragon 636,6 GB,128 GB,microSD,,3600 mAh,6 inch,2160x1080 pixels,402 ppi,,1600 萬畫素,2.0,175 g,,Yes,https://www.sogi.com.tw/products/htc_u12_life/14112
HTC EXODUS 1,21900,,2019/03,15,Snapdragon 845,6 GB,128 GB,microSD,,3500 mAh,6 inch,2880x1440 pixels,537 ppi,,1600 萬畫素,,,IP68,,https://www.sogi.com.tw/products/htc_exodus_1/14020
HTC Desire 12s 64GB,4100,,2019/01,17,Snapdragon 435,4 GB,64 GB,microSD,2 TB,3075 mAh,5.7 inch,1440x720 pixels,282 ppi,TFT,1300 萬畫素,2.0,150 g,,Yes,https://www.sogi.com.tw/products/htc_desire_12s/14424
HTC EXODUS 1s,3990,,2019/10,8,Snapdragon 435,4 GB,64 GB,microSD,400 GB,3075 mAh,5.7 inch,1440x720 pixels,282 ppi,,1300 萬畫素,2.0,,,Yes,https://www.sogi.com.tw/products/htc_exodus_1s/14818
