手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
HUAWEI Mate 20 Pro,15520,10000.0,2018/10,20,Kirin 980,6 GB,128 GB,nanoSD,256 GB,4200 mAh,6.39 inch,3120x1440 pixels,538 ppi,OLED,4000 萬畫素,1.8,189 g,IP68,,https://www.sogi.com.tw/products/huawei_mate_20_pro/14278
HUAWEI Y9 2019,4820,3950.0,2018/10,20,Kirin 710,4 GB,64 GB,microSD,256 GB,4000 mAh,6.5 inch,2340x1080 pixels,396 ppi,,1300 萬畫素,1.8,173 g,,Yes,https://www.sogi.com.tw/products/huawei_y9_2019/14260
HUAWEI Y9 Prime 2019,5790,4900.0,2019/09,9,Kirin 710,4 GB,128 GB,microSD,512 GB,4000 mAh,6.59 inch,2340x1080 pixels,391 ppi,LTPS,1600 萬畫素,1.8,196.8 g,,Yes,https://www.sogi.com.tw/products/huawei_y9_prime_2019/14846
HUAWEI Mate 20 X,16900,,2019/01,17,Kirin 980,6 GB,128 GB,nanoSD,256 GB,5000 mAh,7.2 inch,2244x1080 pixels,346 ppi,OLED,4000 萬畫素,1.8,232 g,IP53,Yes,https://www.sogi.com.tw/products/huawei_mate20_x/14307
HUAWEI Mate 20 X 5G,24500,19500.0,2019/11,7,Kirin 980,8 GB,256 GB,nanoSD,256 GB,4200 mAh,7.2 inch,2244x1080 pixels,346 ppi,OLED,4000 萬畫素,1.8,233 g,IP53,Yes,https://www.sogi.com.tw/products/huawei_mate_20_x_5g/14796
HUAWEI nova 4e,6400,,2019/04,14,Kirin 710,6 GB,128 GB,microSD,512 GB,3340 mAh,6.15 inch,2312x1080 pixels,415 ppi,IPS,2400 萬畫素,1.8,159 g,,Yes,https://www.sogi.com.tw/products/huawei_nova_4e/14654
HUAWEI P20,15100,8990.0,2018/05,25,Kirin 970,4 GB,128 GB,,,3400 mAh,5.8 inch,2244x1080 pixels,429 ppi,LCD,2000 萬畫素,1.6,165 g,IP53,,https://www.sogi.com.tw/products/huawei_p20/13824
HUAWEI nova 2i,4299,,2017/11,31,Kirin 659,4 GB,64 GB,microSD,256 GB,3340 mAh,5.9 inch,2160x1080 pixels,409 ppi,IPS,1600 萬畫素,2.2,164 g,,Yes,https://www.sogi.com.tw/products/huawei_nova_2i/13528
HUAWEI Mate 10 Pro,13349,,2017/11,31,Kirin 970,6 GB,128 GB,,,4000 mAh,6 inch,2160x1080 pixels,402 ppi,OLED,2000 萬畫素,1.6,178 g,IP67,,https://www.sogi.com.tw/products/huawei_mate_10_pro/13566
HUAWEI Mate 10,14300,,2017/11,31,Kirin 970,4 GB,64 GB,microSD,256 GB,4000 mAh,5.9 inch,2560x1440 pixels,498 ppi,LCD,2000 萬畫素,1.6,186 g,IP53,Yes,https://www.sogi.com.tw/products/huawei_mate_10/13567
HUAWEI Y7 Prime 2018,3170,,2018/06,24,Snapdragon 430,3 GB,32 GB,microSD,256 GB,3000 mAh,5.99 inch,1440x720 pixels,269 ppi,IPS,1300 萬畫素,,155 g,,Yes,https://www.sogi.com.tw/products/huawei_y7_prime_2018/13895
HUAWEI Y7s,3300,,2018/05,25,Kirin 659,3 GB,32 GB,microSD,256 GB,3000 mAh,5.65 inch,2160x1080 pixels,427 ppi,LCD,1300 萬畫素,2.2,143 g,,Yes,https://www.sogi.com.tw/products/huawei_y7s/13847
HUAWEI Y6 2018,2700,2500.0,2018/06,24,Snapdragon 425,2 GB,16 GB,microSD,256 GB,3000 mAh,5.7 inch,1440x720 pixels,282 ppi,IPS,1300 萬畫素,,150 g,,Yes,https://www.sogi.com.tw/products/huawei_y6_2018/13894
HUAWEI Mate 10 保時捷設計款,43000,,2018/02,28,Kirin 970,6 GB,256 GB,,,4000 mAh,6 inch,2160x1080 pixels,402 ppi,OLED,2000 萬畫素,1.6,178 g,IP67,,https://www.sogi.com.tw/products/huawei_mate_10_porsche_design/13568
