手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
LG V60 ThinQ,30300,,2020/06,0,Snapdragon 865,8 GB,256 GB,microSD,2 TB,5000 mAh,6.8 inch,2460x1080 pixels,395 ppi,OLED,6400 萬畫素,1.8,214 g,IP68,,https://www.sogi.com.tw/products/lg_v60_thinq/15318
LG G8X ThinQ,18500,,2019/12,6,Snapdragon 855,6 GB,128 GB,microSD,2 TB,4000 mAh,6.4 inch,2340x1080 pixels,403 ppi,OLED,1200 萬畫素,1.8,192 g,IP68,Yes,https://www.sogi.com.tw/products/lg_g8x_thinq/15138
LG K51S,5000,,2020/05,1,MT6765,3 GB,64 GB,microSD,2 TB,4000 mAh,6.55 inch,1600x720 pixels,268 ppi,,3200 萬畫素,1.8,192 g,,Yes,https://www.sogi.com.tw/products/lg_k51s/15304
LG K61,7790,6500.0,2020/05,1,MT6765,4 GB,128 GB,microSD,2 TB,4000 mAh,6.53 inch,2340x1080 pixels,395 ppi,,4800 萬畫素,1.8,191 g,,Yes,https://www.sogi.com.tw/products/lg_k61/15303
LG V40 ThinQ,14900,,2019/01,17,Snapdragon 845,6 GB,128 GB,microSD,2 TB,3300 mAh,6.4 inch,3120x1440 pixels,537 ppi,OLED,1200 萬畫素,1.5,169 g,IP68,Yes,https://www.sogi.com.tw/products/lg_v40_thinq/14263
LG G6,9500,8999.0,2017/05,37,Snapdragon 821,4 GB,64 GB,microSD,2 TB,3300 mAh,5.7 inch,2880x1440 pixels,,IPS,1300 萬畫素,1.8,163 g,IP68,Yes,https://www.sogi.com.tw/products/lg_g6/13108
LG G7+ ThinQ,11000,4999.0,2018/07,23,Snapdragon 845,6 GB,128 GB,microSD,2 TB,3000 mAh,6.1 inch,3120x1440 pixels,563 ppi,IPS,1600 萬畫素,1.6,162 g,IP68,Yes,https://www.sogi.com.tw/products/lg_g7_plus_thinq/13888
LG Q60,3890,3245.0,2019/07,11,MT6762,3 GB,64 GB,microSD,2 TB,3500 mAh,6.26 inch,1520x720 pixels,269 ppi,TFT,1600 萬畫素,2.0,173 g,,Yes,https://www.sogi.com.tw/products/lg_q60/14578
LG V30+,14880,,2017/12,30,Snapdragon 835,4 GB,128 GB,microSD,2 TB,3300 mAh,6 inch,2880x1440 pixels,537 ppi,OLED,1600 萬畫素,1.6,158 g,IP68,Yes,https://www.sogi.com.tw/products/lg_v30_plus/13469
LG V30S ThinQ,11800,,2018/05,25,Snapdragon 835,6 GB,128 GB,microSD,2 TB,3300 mAh,6 inch,2880x1440 pixels,537 ppi,OLED,1600 萬畫素,1.6,158 g,IP68,Yes,https://www.sogi.com.tw/products/lg_v30s_thinq/13739
LG Q7+,4890,,2018/08,22,MT6750S,4 GB,64 GB,microSD,2 TB,3000 mAh,5.5 inch,2160x1080 pixels,439 ppi,IPS,1600 萬畫素,2.2,145 g,IP68,Yes,https://www.sogi.com.tw/products/lg_q7_plus/14380
LG Q7+ BTS Edition,11900,,2018/12,18,MT6750S,4 GB,64 GB,microSD,2 TB,3000 mAh,5.5 inch,2160x1080 pixels,439 ppi,IPS,1600 萬畫素,2.2,145 g,IP68,Yes,https://www.sogi.com.tw/products/lg_q7_plus_bts_edition/14395
LG Q6,3800,,2017/10,32,Snapdragon 435,3 GB,32 GB,microSD,2 TB,3000 mAh,5.5 inch,2160x1080 pixels,439 ppi,IPS,1300 萬畫素,2.2,160 g,,Yes,https://www.sogi.com.tw/products/lg_q6/13387
LG K9,2490,,2018/10,20,Snapdragon 210,2 GB,16 GB,microSD,32 GB,2500 mAh,5 inch,1280x720 pixels,294 ppi,,800 萬畫素,,135 g,,Yes,https://www.sogi.com.tw/products/lg_k9/14268
LG K11+,4999,,2018/11,19,MT6750V,3 GB,32 GB,microSD,2 TB,3000 mAh,5.3 inch,1280x720 pixels,277 ppi,IPS,1300 萬畫素,,163 g,,Yes,https://www.sogi.com.tw/products/lg_k11_plus/14270
