手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
Nokia 5.3,5500,,2020/05,1,Snapdragon 665,6 GB,64 GB,microSD,512 GB,4000 mAh,6.55 inch,1600x720 pixels,268 ppi,IPS,1300 萬畫素,1.8,180 g,,Yes,https://www.sogi.com.tw/products/nokia_5_3/15358
Nokia 7.2,7700,,2019/10,8,Snapdragon 660,6 GB,128 GB,microSD,512 GB,3500 mAh,6.3 inch,2280x1080 pixels,400 ppi,IPS,4800 萬畫素,1.79,180 g,,Yes,https://www.sogi.com.tw/products/nokia_7_2/15130
Nokia 8.1,6700,,2018/12,18,Snapdragon 710,4 GB,64 GB,microSD,400 GB,3500 mAh,6.18 inch,2246x1080 pixels,403 ppi,IPS,1200 萬畫素,1.8,180 g,,Yes,https://www.sogi.com.tw/products/nokia_8_1/14366
Nokia 8,9400,,2017/10,32,Snapdragon 835,4 GB,64 GB,microSD,256 GB,3090 mAh,5.3 inch,2560x1440 pixels,554 ppi,IPS,1300 萬畫素,2.0,160 g,IP54,Yes,https://www.sogi.com.tw/products/nokia_8/13441
Nokia 5.1 Plus,4500,,2018/09,21,Helio P60,3 GB,32 GB,microSD,400 GB,3060 mAh,5.8 inch,1520x720 pixels,290 ppi,IPS,1300 萬畫素,2.0,165 g,,Yes,https://www.sogi.com.tw/products/nokia_5_1_plus/14080
Nokia 7 Plus,8900,,2018/04,26,Snapdragon 660,4 GB,64 GB,microSD,256 GB,3800 mAh,6 inch,2160x1080 pixels,402 ppi,IPS,1300 萬畫素,2.6,,,Yes,https://www.sogi.com.tw/products/nokia_7_plus/13760
Nokia 6.1 Plus,6500,,2018/08,22,Snapdragon 636,4 GB,64 GB,microSD,400 GB,3060 mAh,5.8 inch,2280x1080 pixels,435 ppi,,1600 萬畫素,2.0,151 g,,Yes,https://www.sogi.com.tw/products/nokia_6_1_plus/14026
Nokia 2720 Flip,2790,,2019/10,8,Snapdragon 205,512 MB,4 GB,microSD,32 GB,1500 mAh,2.8 inch,320x240 pixels,143 ppi,,200 萬畫素,,118 g,,Yes,https://www.sogi.com.tw/products/nokia_2720_flip/15135
Nokia 8110 4G,1900,,2018/07,23,Snapdragon 205,512 MB,4 GB,microSD,64 GB,1500 mAh,2.4 inch,320x240 pixels,167 ppi,,200 萬畫素,,117 g,IP52,Yes,https://www.sogi.com.tw/products/nokia_8110/13757
Nokia 3.1 Plus,3100,,2018/12,18,Helio P22,3 GB,32 GB,microSD,400 GB,3500 mAh,6 inch,1440x720 pixels,268 ppi,,1300 萬畫素,2.0,180 g,,Yes,https://www.sogi.com.tw/products/nokia_3_1_plus/14293
Nokia 3310 2017 3G,1100,,2017/11,31,,128 MB,64 MB,microSD,32 GB,1200 mAh,2.4 inch,320x240 pixels,167 ppi,,200 萬畫素,,84.9 g,,Yes,https://www.sogi.com.tw/products/nokia_3310_2017_3g/13531
