手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
OPPO A9 2020 (8GB/128GB),8100,6990.0,2019/10,8,Snapdragon 665,8 GB,128 GB,microSD,256 GB,5000 mAh,6.5 inch,1600x720 pixels,270 ppi,,4800 萬畫素,1.7,195 g,,Yes,https://www.sogi.com.tw/products/oppo_a9_2020/15118
OPPO Reno2 Z,9200,8018.0,2019/10,8,Helio P90,8 GB,128 GB,microSD,256 GB,4000 mAh,6.5 inch,2340x1080 pixels,396 ppi,AMOLED,4800 萬畫素,1.7,195 g,,Yes,https://www.sogi.com.tw/products/oppo_reno2_z/15092
OPPO A5 2020,4890,4000.0,2019/10,8,Snapdragon 665,4 GB,64 GB,microSD,256 GB,5000 mAh,6.5 inch,1600x720 pixels,270 ppi,,1200 萬畫素,1.7,195 g,,Yes,https://www.sogi.com.tw/products/oppo_a5_2020/15174
OPPO Reno2,14990,11650.0,2019/10,8,Snapdragon 730G,8 GB,256 GB,microSD,256 GB,4000 mAh,6.5 inch,2400x1080 pixels,405 ppi,AMOLED,4800 萬畫素,1.7,189 g,,Yes,https://www.sogi.com.tw/products/oppo_reno2/15082
OPPO Reno Z,7900,7180.0,2019/06,12,Helio P90,8 GB,128 GB,,,4035 mAh,6.4 inch,2340x1080 pixels,403 ppi,AMOLED,4800 萬畫素,1.7,186 g,,Yes,https://www.sogi.com.tw/products/oppo_reno_z/14891
OPPO R17,7500,6094.0,2018/11,19,Snapdragon 670,6 GB,128 GB,,,3500 mAh,6.4 inch,2340x1080 pixels,403 ppi,AMOLED,1600 萬畫素,1.7,182 g,,Yes,https://www.sogi.com.tw/products/oppo_r17/14076
OPPO Reno 10 倍變焦版 (8GB/256GB),18500,14000.0,2019/06,12,Snapdragon 855,8 GB,256 GB,microSD,256 GB,4065 mAh,6.6 inch,2340x1080 pixels,390 ppi,AMOLED,4800 萬畫素,1.7,215 g,,,https://www.sogi.com.tw/products/oppo_reno/14736
OPPO A9 2020 (4GB/128GB),6400,,2019/10,8,Snapdragon 665,4 GB,128 GB,microSD,256 GB,5000 mAh,6.5 inch,1600x720 pixels,270 ppi,,4800 萬畫素,1.7,195 g,,Yes,https://www.sogi.com.tw/products/oppo_a9_2020/15151
OPPO Reno 10 倍變焦版 (12GB/256GB),22000,16500.0,2019/11,7,Snapdragon 855,12 GB,256 GB,microSD,256 GB,4065 mAh,6.6 inch,2340x1080 pixels,390 ppi,AMOLED,4800 萬畫素,1.7,215 g,,,https://www.sogi.com.tw/products/oppo_reno/15223
OPPO R11s,6990,4400.0,2017/12,30,Snapdragon 660,4 GB,64 GB,microSD,256 GB,3205 mAh,6.01 inch,2160x1080 pixels,402 ppi,AMOLED,2000 萬畫素,1.7,153 g,,Yes,https://www.sogi.com.tw/products/oppo_r11s/13597
OPPO AX5s (4GB/64GB),4400,,2019/04,14,Helio P35,4 GB,64 GB,microSD,256 GB,4230 mAh,6.2 inch,1520x720 pixels,271 ppi,IPS,1300 萬畫素,2.2,170 g,,Yes,https://www.sogi.com.tw/products/oppo_ax5s/14729
OPPO A3,4900,,2018/06,24,Helio P60,4 GB,128 GB,microSD,256 GB,3400 mAh,6.2 inch,2280x1080 pixels,407 ppi,LTPS,1600 萬畫素,1.8,159 g,,Yes,https://www.sogi.com.tw/products/oppo_a3/13860
