手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
SAMSUNG Galaxy A71,11000,10500.0,2020/02,4,Snapdragon 730,8 GB,128 GB,microSD,512 GB,4500 mAh,6.7 inch,2400x1080 pixels,393 ppi,Super AMOLED Plus,6400 萬畫素,1.8,179 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a71/15259
SAMSUNG Galaxy A51,7990,7600.0,2020/01,5,Exynos 9611,6 GB,128 GB,microSD,512 GB,4000 mAh,6.5 inch,2400x1080 pixels,405 ppi,Super AMOLED,4800 萬畫素,2.0,172 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a51/15258
SAMSUNG Galaxy A21s,6990,,2020/06,0,Exynos 850,4 GB,64 GB,microSD,512 GB,5000 mAh,6.5 inch,1600x720 pixels,270 ppi,LCD,4800 萬畫素,2.0,192 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a21s/15411
SAMSUNG Galaxy A31,7300,,2020/05,1,Helio P65,6 GB,128 GB,microSD,512 GB,5000 mAh,6.4 inch,2400x1080 pixels,411 ppi,Super AMOLED,4800 萬畫素,2.0,185 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a31/15355
SAMSUNG Galaxy Note 10 Lite,14800,,2020/02,4,Exynos 9810,8 GB,128 GB,microSD,1 TB,4500 mAh,6.7 inch,2400x1080 pixels,393 ppi,Super AMOLED,1200 萬畫素,1.7,199 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_note10_lite/15272
SAMSUNG Galaxy S20 5G,23300,23750.0,2020/03,3,Snapdragon 865,12 GB,128 GB,microSD,1 TB,4000 mAh,6.2 inch,3200x1400 pixels,563 ppi,Dynamic AMOLED 2X,1200 萬畫素,1.8,163 g,IP68,,https://www.sogi.com.tw/products/samsung_galaxy_s20/15292
SAMSUNG Galaxy A20,3790,4000.0,2019/04,14,Exynos 7884,3 GB,32 GB,microSD,512 GB,4000 mAh,6.4 inch,1560x720 pixels,268 ppi,Super AMOLED,1300 萬畫素,1.9,169 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a20/14683
SAMSUNG Galaxy A70,8200,6933.0,2019/05,13,Snapdragon 675,6 GB,128 GB,microSD,512 GB,4500 mAh,6.7 inch,2400x1080 pixels,393 ppi,Super AMOLED,3200 萬畫素,1.7,183 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a70/14694
SAMSUNG Galaxy Note 10+ 256GB,25100,20835.0,2019/08,10,Snapdragon 855,12 GB,256 GB,microSD,1 TB,4300 mAh,6.8 inch,3040x1440 pixels,495 ppi,Dynamic AMOLED,1200 萬畫素,1.5,196 g,IP68,,https://www.sogi.com.tw/products/samsung_galaxy_note_10_plus/15039
SAMSUNG Galaxy M11,3990,,2020/05,1,Snapdragon 450,3 GB,32 GB,microSD,512 GB,5000 mAh,6.4 inch,1560x720 pixels,268 ppi,LCD,1300 萬畫素,1.8,197 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_m11/15401
SAMSUNG Galaxy S20 Ultra 5G 256GB,32300,31500.0,2020/03,3,Snapdragon 865,12 GB,256 GB,microSD,1 TB,5000 mAh,6.9 inch,3200x1400 pixels,506 ppi,Dynamic AMOLED 2X,1.08 億畫素,1.8,222 g,IP68,,https://www.sogi.com.tw/products/samsung_galaxy_s20_ultra/15293
SAMSUNG Galaxy S10,18500,13473.0,2019/03,15,Exynos 9820,8 GB,128 GB,microSD,512 GB,3400 mAh,6.1 inch,3040x1440 pixels,551 ppi,Dynamic AMOLED,1200 萬畫素,1.5,157 g,IP68,Yes,https://www.sogi.com.tw/products/samsung_galaxy_s10/14530
SAMSUNG Galaxy S20+ 5G,27300,25250.0,2020/03,3,Snapdragon 865,12 GB,128 GB,microSD,1 TB,4500 mAh,6.7 inch,3200x1400 pixels,521 ppi,Dynamic AMOLED 2X,1200 萬畫素,1.8,186 g,IP68,,https://www.sogi.com.tw/products/samsung_galaxy_s20_plus/15291
SAMSUNG Galaxy A60,6800,6433.0,2019/06,12,Snapdragon 675,6 GB,128 GB,microSD,512 GB,3500 mAh,6.3 inch,2340x1080 pixels,409 ppi,PLS,3200 萬畫素,1.7,168 g,,,https://www.sogi.com.tw/products/samsung_galaxy_a60/14781
SAMSUNG Galaxy Note 10,22600,19082.0,2019/08,10,Snapdragon 855,8 GB,256 GB,,,3500 mAh,6.3 inch,2280x1080 pixels,400 ppi,Dynamic AMOLED,1200 萬畫素,1.5,168 g,IP68,,https://www.sogi.com.tw/products/samsung_galaxy_note_10/15038
SAMSUNG Galaxy S10+,20300,15235.0,2019/03,15,Exynos 9820,8 GB,128 GB,microSD,512 GB,4100 mAh,6.4 inch,3040x1440 pixels,526 ppi,Dynamic AMOLED,1200 萬畫素,1.5,175 g,IP68,Yes,https://www.sogi.com.tw/products/samsung_galaxy_s10_plus/14531
SAMSUNG Galaxy A30s,5890,5490.0,2019/10,8,Exynos 7904,4 GB,128 GB,microSD,512 GB,4000 mAh,6.4 inch,1560x720 pixels,268 ppi,Super AMOLED,2500 萬畫素,1.7,169 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a30s/15073
SAMSUNG Galaxy A7 (2018),6500,5200.0,2018/10,20,Exynos 7885,4 GB,128 GB,microSD,512 GB,3300 mAh,6 inch,2220x1080 pixels,411 ppi,Super AMOLED,2400 萬畫素,1.7,168 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a7_2018/14210
SAMSUNG Galaxy A80,13500,9763.0,2019/06,12,Snapdragon 730,8 GB,128 GB,,,3700 mAh,6.7 inch,2400x1080 pixels,393 ppi,Super AMOLED,4800 萬畫素,2.0,220 g,,,https://www.sogi.com.tw/products/samsung_galaxy_a80/14738
SAMSUNG Galaxy A9 (2018),7500,6645.0,2018/12,18,Snapdragon 660,6 GB,128 GB,microSD,512 GB,3800 mAh,6.3 inch,2220x1080 pixels,392 ppi,Super AMOLED,2400 萬畫素,1.7,183 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a9_2018/14294
SAMSUNG Galaxy Z Flip,43200,33700.0,2020/02,4,Snapdragon 855+,8 GB,256 GB,,,3300 mAh,6.7 inch,2636x1080 pixels,425 ppi,Dynamic AMOLED,1200 萬畫素,1.8,183 g,,,https://www.sogi.com.tw/products/samsung_galaxy_z_flip/15294
SAMSUNG Galaxy S20 Ultra 5G 512GB,39200,31900.0,2020/03,3,Snapdragon 865,16 GB,512 GB,microSD,1 TB,5000 mAh,6.9 inch,3200x1400 pixels,506 ppi,Dynamic AMOLED 2X,1.08 億畫素,1.8,220 g,IP68,,https://www.sogi.com.tw/products/samsung_galaxy_s20_ultra/15302
SAMSUNG Galaxy Note 10+ 512GB,32000,,2019/08,10,Snapdragon 855,12 GB,512 GB,microSD,1 TB,4300 mAh,6.8 inch,3040x1440 pixels,495 ppi,Dynamic AMOLED,1200 萬畫素,1.5,196 g,IP68,,https://www.sogi.com.tw/products/samsung_galaxy_note_10_plus/15042
SAMSUNG Galaxy S10+ 陶瓷版 512GB,27800,15500.0,2019/03,15,Exynos 9820,8 GB,512 GB,microSD,512 GB,4100 mAh,6.4 inch,3040x1440 pixels,526 ppi,Dynamic AMOLED,1200 萬畫素,1.5,198 g,IP68,Yes,https://www.sogi.com.tw/products/samsung_galaxy_s10_plus/14574
SAMSUNG Galaxy Note 9 黑色沙漠限量版,31400,,2018/08,22,Exynos 9810,6 GB,128 GB,microSD,512 GB,4000 mAh,6.4 inch,2960x1440 pixels,514 ppi,Super AMOLED,1200 萬畫素,1.5,201 g,IP68,Yes,https://www.sogi.com.tw/products/samsung_galaxy_note_9/14079
SAMSUNG Galaxy S10+ 陶瓷版 1TB,30990,,2019/03,15,Exynos 9820,12 GB,1 TB,microSD,512 GB,4100 mAh,6.4 inch,3040x1440 pixels,526 ppi,Dynamic AMOLED,1200 萬畫素,1.5,198 g,IP68,Yes,https://www.sogi.com.tw/products/samsung_galaxy_s10_plus/14575
