手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
vivo Y19,4800,,2019/12,6.0,Helio P65,6 GB,128 GB,microSD,256 GB,5000 mAh,6.53 inch,2340x1080 pixels,395 ppi,IPS,1600 萬畫素,1.78,193 g,,Yes,https://www.sogi.com.tw/products/vivo_y19/15238
vivo Y50 (8GB/128GB),8100,7800.0,,,Snapdragon 665,8 GB,128 GB,microSD,256 GB,5000 mAh,6.53 inch,2340x1080,4 ppi,LCD,1300 萬畫素,2.2,197 g,,Yes,https://www.sogi.com.tw/products/vivo_y50/15413
vivo Y12,3450,2900.0,2019/11,7.0,Helio P22,3 GB,64 GB,microSD,256 GB,5000 mAh,6.35 inch,1544x720 pixels,268 ppi,LCD,1300 萬畫素,2.2,190.5 g,,Yes,https://www.sogi.com.tw/products/vivo_y12/14928
vivo Y15 2020,4900,4500.0,,,Helio P35,4 GB,128 GB,microSD,256 GB,5000 mAh,6.35 inch,1544x720 pixels,268 ppi,LCD,1300 萬畫素,2.2,190.5 g,,Yes,https://www.sogi.com.tw/products/vivo_y15_2020/14887
vivo NEX 3,23200,18630.0,2019/10,8.0,Snapdragon 855+,8 GB,256 GB,,,4500 mAh,6.89 inch,2256x1080 pixels,363 ppi,Super AMOLED,6400 萬畫素,1.8,218.5 g,,Yes,https://www.sogi.com.tw/products/vivo_nex_3_5g/15122
vivo Y17,4490,3700.0,2019/07,11.0,Helio P35,4 GB,128 GB,microSD,256 GB,5000 mAh,6.35 inch,1544x720 pixels,268 ppi,LCD,1300 萬畫素,2.2,190.5 g,,Yes,https://www.sogi.com.tw/products/vivo_y17/14750
vivo V17 Pro,8800,7500.0,2019/11,7.0,Snapdragon 675,8 GB,128 GB,,,4100 mAh,6.44 inch,2400x1080 pixels,409 ppi,Super AMOLED,4800 萬畫素,1.8,201.8 g,,Yes,https://www.sogi.com.tw/products/vivo_v17_pro/15187
vivo Y50 (6GB/128GB),7500,,,,Snapdragon 665,6 GB,128 GB,microSD,256 GB,5000 mAh,6.53 inch,2340x1080,4 ppi,LCD,1300 萬畫素,2.2,197 g,,Yes,https://www.sogi.com.tw/products/vivo_y50/15412
vivo S1,5990,5400.0,2019/08,10.0,Helio P65,6 GB,128 GB,microSD,256 GB,4500 mAh,6.38 inch,2340x1080 pixels,404 ppi,Super AMOLED,1600 萬畫素,1.78,179 g,,Yes,https://www.sogi.com.tw/products/vivo_s1/14707
vivo V15 Pro,7800,4900.0,2019/05,13.0,Snapdragon 675,8 GB,128 GB,microSD,256 GB,3700 mAh,6.39 inch,2340x1080 pixels,403 ppi,Super AMOLED,1200 萬畫素,1.8,185 g,,Yes,https://www.sogi.com.tw/products/vivo_v15_pro/14581
vivo NEX 雙螢幕版,16800,,2019/01,17.0,Snapdragon 845,10 GB,128 GB,,,3500 mAh,6.39 inch,2340x1080 pixels,403 ppi,Super AMOLED,1200 萬畫素,1.79,199.2 g,,,https://www.sogi.com.tw/products/vivo_nex_dualdisplay/14417
vivo V11,5200,,2018/11,19.0,Helio P60,6 GB,128 GB,microSD,256 GB,3315 mAh,6.3 inch,2280x1080 pixels,400 ppi,LTPS,1600 萬畫素,2.0,163.7 g,,Yes,https://www.sogi.com.tw/products/vivo_v11/14145
vivo Y95,4400,3900.0,2019/01,17.0,Snapdragon 439,4 GB,64 GB,microSD,256 GB,4030 mAh,6.22 inch,1520x720 pixels,270 ppi,TFT,1300 萬畫素,2.2,163.5 g,,Yes,https://www.sogi.com.tw/products/vivo_y95/14369
