手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
小米 紅米 Note 8 Pro 64GB,6350,,2019/10,8,Helio G90T,6 GB,64 GB,microSD,256 GB,4500 mAh,6.53 inch,2340x1080 pixels,395 ppi,IPS,6400 萬畫素,1.89,199.8 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_8_pro/15105
小米 紅米 Note 8T 64GB,4150,,2019/11,7,Snapdragon 665,4 GB,64 GB,microSD,256 GB,4000 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,4800 萬畫素,1.79,199.2 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_8t/15247
小米 小米 9,13290,,2019/04,14,Snapdragon 855,6 GB,128 GB,,,3300 mAh,6.39 inch,2340x1080 pixels,403 ppi,AMOLED,4800 萬畫素,1.75,173 g,,,https://www.sogi.com.tw/products/xiaomi_9/14560
小米 紅米 Note 8 Pro 128GB,7490,,2019/10,8,Helio G90T,6 GB,128 GB,microSD,256 GB,4500 mAh,6.53 inch,2340x1080 pixels,395 ppi,IPS,6400 萬畫素,1.89,199.8 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_8_pro/15104
小米 紅米 Note 8T 32GB,3800,,2019/11,7,Snapdragon 665,3 GB,32 GB,microSD,256 GB,4000 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,4800 萬畫素,1.79,199.2 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_8t/15236
小米 紅米 Note 7 64GB,5350,4200.0,2019/04,14,Snapdragon 660,4 GB,64 GB,microSD,256 GB,4000 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,4800 萬畫素,1.8,186 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_7/14483
小米 小米 Max 3,6900,,2018/08,22,Snapdragon 636,4 GB,64 GB,microSD,256 GB,5500 mAh,6.9 inch,2160x1080 pixels,350 ppi,,1200 萬畫素,1.9,221 g,,Yes,https://www.sogi.com.tw/products/xiaomi_max_3/14033
小米 小米 8 Pro 螢幕指紋版,13470,,2018/10,20,Snapdragon 845,8 GB,128 GB,,,3000 mAh,6.21 inch,2248x1080 pixels,402 ppi,AMOLED,1200 萬畫素,1.8,177 g,,,https://www.sogi.com.tw/products/xiaomi_8_pro/14192
小米 紅米 Note 7 128GB,5990,5000.0,2019/04,14,Snapdragon 660,4 GB,128 GB,microSD,256 GB,4000 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,4800 萬畫素,1.8,186 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_7/14482
小米 小米 MIX 2 64GB,7990,,2017/10,32,Snapdragon 835,6 GB,64 GB,,,3400 mAh,5.99 inch,2160x1080 pixels,403 ppi,,1200 萬畫素,2.0,185 g,,,https://www.sogi.com.tw/products/xiaomi_mix_2/13493
