手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
SAMSUNG Galaxy S10+ 陶瓷版 1TB,30990,,2019/03,15.0,Exynos 9820,78.6,12 GB,1 TB,microSD,512 GB,4100 mAh,6.4 inch,3040x1440 pixels,526 ppi,Dynamic AMOLED,1200 萬畫素,1.5,198 g,IP68,Yes,https://www.sogi.com.tw/products/samsung_galaxy_s10_plus/14575
SAMSUNG Galaxy S10+ 陶瓷版 512GB,27800,15500.0,2019/03,15.0,Exynos 9820,78.6,8 GB,512 GB,microSD,512 GB,4100 mAh,6.4 inch,3040x1440 pixels,526 ppi,Dynamic AMOLED,1200 萬畫素,1.5,198 g,IP68,Yes,https://www.sogi.com.tw/products/samsung_galaxy_s10_plus/14574
HTC EXODUS 1,21900,,2019/03,15.0,Snapdragon 845,63.7,6 GB,128 GB,microSD,,3500 mAh,6 inch,2880x1440 pixels,537 ppi,,1600 萬畫素,,,IP68,,https://www.sogi.com.tw/products/htc_exodus_1/14020
SAMSUNG Galaxy S10+,20300,15235.0,2019/03,15.0,Exynos 9820,78.6,8 GB,128 GB,microSD,512 GB,4100 mAh,6.4 inch,3040x1440 pixels,526 ppi,Dynamic AMOLED,1200 萬畫素,1.5,175 g,IP68,Yes,https://www.sogi.com.tw/products/samsung_galaxy_s10_plus/14531
Google Pixel 3 128GB,30700,,2018/11,19.0,Snapdragon 845,63.7,4 GB,128 GB,,,2915 mAh,5.5 inch,2160x1080 pixels,439 ppi,OLED,1220 萬畫素,1.8,148 g,IP68,,https://www.sogi.com.tw/products/google_pixel_3/14283
Google Pixel 3 XL 64GB,31100,,2018/11,19.0,Snapdragon 845,63.7,4 GB,64 GB,,,3430 mAh,6.3 inch,2960x1440 pixels,522 ppi,OLED,1220 萬畫素,1.8,184 g,IP68,,https://www.sogi.com.tw/products/google_pixel_3_xl/14284
Google Pixel 3 64GB,27700,,2018/11,19.0,Snapdragon 845,63.7,4 GB,64 GB,,,2915 mAh,5.5 inch,2160x1080 pixels,439 ppi,OLED,1220 萬畫素,1.8,148 g,IP68,,https://www.sogi.com.tw/products/google_pixel_3/14282
Google Pixel 3 XL 128GB,34100,,2018/11,19.0,Snapdragon 845,63.7,4 GB,128 GB,,,3430 mAh,6.3 inch,2960x1440 pixels,522 ppi,OLED,1220 萬畫素,1.8,184 g,IP68,,https://www.sogi.com.tw/products/google_pixel_3_xl/14276
Apple iPhone XR 256GB,20300,16000.0,2018/10,20.0,A12 Bionic,96.1,,256 GB,,,,6.1 inch,1792x828 pixels,324 ppi,LCD,1200 萬畫素,1.8,194 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_xr/14170
Apple iPhone XS 64GB,21500,16446.0,2018/09,21.0,A12 Bionic,96.1,,64 GB,,,,5.8 inch,2436x1125 pixels,463 ppi,OLED,1200 萬畫素,1.8,177 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_xs/14164
Apple iPhone XS Max 64GB,25800,19250.0,2018/09,21.0,A12 Bionic,96.1,,64 GB,,,,6.5 inch,2688x1242 pixels,456 ppi,OLED,1200 萬畫素,1.8,208 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_xs_max/14165
Apple iPhone XS 512GB,28790,,2018/09,21.0,A12 Bionic,96.1,,512 GB,,,,5.8 inch,2436x1125 pixels,463 ppi,OLED,1200 萬畫素,1.8,177 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_xs/14168
Apple iPhone XS 256GB,24700,17492.0,2018/09,21.0,A12 Bionic,96.1,,256 GB,,,,5.8 inch,2436x1125 pixels,463 ppi,OLED,1200 萬畫素,1.8,177 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_xs/14166
Apple iPhone XS Max 256GB,28800,20386.0,2018/09,21.0,A12 Bionic,96.1,,256 GB,,,,6.5 inch,2688x1242 pixels,456 ppi,OLED,1200 萬畫素,1.8,208 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_xs_max/14167
SAMSUNG Galaxy Note 9 黑色沙漠限量版,31400,,2018/08,22.0,Exynos 9810,59.8,6 GB,128 GB,microSD,512 GB,4000 mAh,6.4 inch,2960x1440 pixels,514 ppi,Super AMOLED,1200 萬畫素,1.5,201 g,IP68,Yes,https://www.sogi.com.tw/products/samsung_galaxy_note_9/14079
HUAWEI Mate 10 保時捷設計款,43000,,2018/02,28.0,Kirin 970,40.1,6 GB,256 GB,,,4000 mAh,6 inch,2160x1080 pixels,402 ppi,OLED,2000 萬畫素,1.6,178 g,IP67,,https://www.sogi.com.tw/products/huawei_mate_10_porsche_design/13568
Apple iPhone 8 Plus 256GB,20850,11830.0,2017/09,33.0,A11 Bionic,77.2,,256 GB,,,,5.5 inch,1920x1080 pixels,401 ppi,IPS,1200 萬畫素,1.8,202 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_8_plus/13507
