手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
ASUS ZenFone Max Pro M2 ZB631KL (6GB/64GB),6200,,2020/06,0.0,Snapdragon 660,29.3,6 GB,64 GB,microSD,2 TB,5000 mAh,6.3 inch,2280x1080 pixels,400 ppi,IPS,1200 萬畫素,1.8,175 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_pro_m2/15420
SUGAR T20,4490,,2020/06,0.0,MT6762D,,3 GB,64 GB,microSD,256 GB,4000 mAh,6.52 inch,1600x720 pixels,269 ppi,IPS,1300 萬畫素,2.0,173.7 g,,Yes,https://www.sogi.com.tw/products/sugar_t20/15427
SAMSUNG Galaxy A21s,6990,,2020/06,0.0,Exynos 850,,4 GB,64 GB,microSD,512 GB,5000 mAh,6.5 inch,1600x720 pixels,270 ppi,LCD,4800 萬畫素,2.0,192 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a21s/15411
SUGAR T30,4900,,2020/05,1.0,MT6762D,,3 GB,64 GB,microSD,256 GB,5000 mAh,6.52 inch,1600x720 pixels,269 ppi,IPS,1300 萬畫素,2.0,187.5 g,,Yes,https://www.sogi.com.tw/products/sugar_t30/15414
SAMSUNG Galaxy M11,3990,,2020/05,1.0,Snapdragon 450,,3 GB,32 GB,microSD,512 GB,5000 mAh,6.4 inch,1560x720 pixels,268 ppi,LCD,1300 萬畫素,1.8,197 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_m11/15401
SAMSUNG Galaxy A31,7300,,2020/05,1.0,Helio P65,,6 GB,128 GB,microSD,512 GB,5000 mAh,6.4 inch,2400x1080 pixels,411 ppi,Super AMOLED,4800 萬畫素,2.0,185 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a31/15355
Nokia 5.3,5500,,2020/05,1.0,Snapdragon 665,27.6,6 GB,64 GB,microSD,512 GB,4000 mAh,6.55 inch,1600x720 pixels,268 ppi,IPS,1300 萬畫素,1.8,180 g,,Yes,https://www.sogi.com.tw/products/nokia_5_3/15358
LG K51S,5000,,2020/05,1.0,MT6765,,3 GB,64 GB,microSD,2 TB,4000 mAh,6.55 inch,1600x720 pixels,268 ppi,,3200 萬畫素,1.8,192 g,,Yes,https://www.sogi.com.tw/products/lg_k51s/15304
LG K61,7790,6500.0,2020/05,1.0,MT6765,,4 GB,128 GB,microSD,2 TB,4000 mAh,6.53 inch,2340x1080 pixels,395 ppi,,4800 萬畫素,1.8,191 g,,Yes,https://www.sogi.com.tw/products/lg_k61/15303
HTC Desire 19s 64GB,4590,,2020/02,4.0,Helio P22,,4 GB,64 GB,microSD,2 TB,3850 mAh,6.2 inch,1520x720 pixels,271 ppi,Super LCD (SLCD),1300 萬畫素,1.85,170 g,,Yes,https://www.sogi.com.tw/products/htc_desire_19s/15286
