手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
SAMSUNG Galaxy A70,8200,6933.0,2019/05,13.0,Snapdragon 675,34.5,6 GB,128 GB,microSD,512 GB,4500 mAh,6.7 inch,2400x1080 pixels,393 ppi,Super AMOLED,3200 萬畫素,1.7,183 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a70/14694
SUGAR F20,9900,,2019/04,14.0,Snapdragon 450,,4 GB,64 GB,microSD,128 GB,6000 mAh,6.26 inch,2246x1080 pixels,398 ppi,IPS,1200 萬畫素,2.2,210 g,,Yes,https://www.sogi.com.tw/products/sugar_f20/14721
小米 小米 9,13290,,2019/04,14.0,Snapdragon 855,80.4,6 GB,128 GB,,,3300 mAh,6.39 inch,2340x1080 pixels,403 ppi,AMOLED,4800 萬畫素,1.75,173 g,,,https://www.sogi.com.tw/products/xiaomi_9/14560
SAMSUNG Galaxy S10,18500,13473.0,2019/03,15.0,Exynos 9820,78.6,8 GB,128 GB,microSD,512 GB,3400 mAh,6.1 inch,3040x1440 pixels,551 ppi,Dynamic AMOLED,1200 萬畫素,1.5,157 g,IP68,Yes,https://www.sogi.com.tw/products/samsung_galaxy_s10/14530
SHARP AQUOS zero,8500,,2019/01,17.0,Snapdragon 845,63.7,6 GB,128 GB,,,3130 mAh,6.2 inch,2992x1440 pixels,536 ppi,OLED,2260 萬畫素,1.9,146 g,IP68,,https://www.sogi.com.tw/products/sharp_aqous_zero/14252
HUAWEI Mate 20 X,16900,,2019/01,17.0,Kirin 980,70.6,6 GB,128 GB,nanoSD,256 GB,5000 mAh,7.2 inch,2244x1080 pixels,346 ppi,OLED,4000 萬畫素,1.8,232 g,IP53,Yes,https://www.sogi.com.tw/products/huawei_mate20_x/14307
LG V40 ThinQ,14900,,2019/01,17.0,Snapdragon 845,63.7,6 GB,128 GB,microSD,2 TB,3300 mAh,6.4 inch,3120x1440 pixels,537 ppi,OLED,1200 萬畫素,1.5,169 g,IP68,Yes,https://www.sogi.com.tw/products/lg_v40_thinq/14263
vivo NEX 雙螢幕版,16800,,2019/01,17.0,Snapdragon 845,63.7,10 GB,128 GB,,,3500 mAh,6.39 inch,2340x1080 pixels,403 ppi,Super AMOLED,1200 萬畫素,1.79,199.2 g,,,https://www.sogi.com.tw/products/vivo_nex_dualdisplay/14417
LG Q7+ BTS Edition,11900,,2018/12,18.0,MT6750S,,4 GB,64 GB,microSD,2 TB,3000 mAh,5.5 inch,2160x1080 pixels,439 ppi,IPS,1600 萬畫素,2.2,145 g,IP68,Yes,https://www.sogi.com.tw/products/lg_q7_plus_bts_edition/14395
Sony Xperia XZ3,14600,,2018/10,20.0,Snapdragon 845,63.7,6 GB,64 GB,microSD,512 GB,3300 mAh,6 inch,2880x1440 pixels,537 ppi,OLED,1900 萬畫素,2.0,193 g,IP68,,https://www.sogi.com.tw/products/sony_xperia_xz3/14113
Apple iPhone XR 128GB,19500,14860.0,2018/10,20.0,A12 Bionic,96.1,,128 GB,,,,6.1 inch,1792x828 pixels,324 ppi,LCD,1200 萬畫素,1.8,194 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_xr/14172
Apple iPhone XR 64GB,18800,13581.0,2018/10,20.0,A12 Bionic,96.1,,64 GB,,,,6.1 inch,1792x828 pixels,324 ppi,LCD,1200 萬畫素,1.8,194 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_xr/14171
小米 小米 8 Pro 螢幕指紋版,13470,,2018/10,20.0,Snapdragon 845,63.7,8 GB,128 GB,,,3000 mAh,6.21 inch,2248x1080 pixels,402 ppi,AMOLED,1200 萬畫素,1.8,177 g,,,https://www.sogi.com.tw/products/xiaomi_8_pro/14192
