手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
Apple iPhone 11 Pro Max 512GB,44300,38500.0,2019/09,9.0,A13 Bionic,124.1,,512 GB,,,,6.5 inch,2688x1242 pixels,456 ppi,OLED,1200 萬畫素,1.8,226 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11_pro_max/15154
SAMSUNG Galaxy Z Flip,43200,33700.0,2020/02,4.0,Snapdragon 855+,,8 GB,256 GB,,,3300 mAh,6.7 inch,2636x1080 pixels,425 ppi,Dynamic AMOLED,1200 萬畫素,1.8,183 g,,,https://www.sogi.com.tw/products/samsung_galaxy_z_flip/15294
HUAWEI Mate 10 保時捷設計款,43000,,2018/02,28.0,Kirin 970,40.1,6 GB,256 GB,,,4000 mAh,6 inch,2160x1080 pixels,402 ppi,OLED,2000 萬畫素,1.6,178 g,IP67,,https://www.sogi.com.tw/products/huawei_mate_10_porsche_design/13568
Apple iPhone 11 Pro 512GB,40500,41000.0,2019/09,9.0,A13 Bionic,124.1,,512 GB,,,,5.8 inch,2436x1125 pixels,463 ppi,OLED,1200 萬畫素,1.8,188 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11_pro/15153
SAMSUNG Galaxy S20 Ultra 5G 512GB,39200,31900.0,2020/03,3.0,Snapdragon 865,100.0,16 GB,512 GB,microSD,1 TB,5000 mAh,6.9 inch,3200x1400 pixels,506 ppi,Dynamic AMOLED 2X,1.08 億畫素,1.8,220 g,IP68,,https://www.sogi.com.tw/products/samsung_galaxy_s20_ultra/15302
Apple iPhone 11 Pro Max 256GB,38800,36100.0,2019/09,9.0,A13 Bionic,124.1,,256 GB,,,,6.5 inch,2688x1242 pixels,456 ppi,OLED,1200 萬畫素,1.8,226 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11_pro_max/15158
Apple iPhone 11 Pro 256GB,35800,32700.0,2019/09,9.0,A13 Bionic,124.1,,256 GB,,,,5.8 inch,2436x1125 pixels,463 ppi,OLED,1200 萬畫素,1.8,188 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11_pro/15156
Sony Xperia 1 II,34500,,2020/06,0.0,Snapdragon 865,100.0,8 GB,256 GB,microSD,1 TB,4000 mAh,6.5 inch,3840x1644 pixels,643 ppi,OLED,1200 萬畫素,1.7,181 g,IP68,Yes,https://www.sogi.com.tw/products/sony_xperia_1_mark_two/15310
Google Pixel 3 XL 128GB,34100,,2018/11,19.0,Snapdragon 845,63.7,4 GB,128 GB,,,3430 mAh,6.3 inch,2960x1440 pixels,522 ppi,OLED,1220 萬畫素,1.8,184 g,IP68,,https://www.sogi.com.tw/products/google_pixel_3_xl/14276
Apple iPhone 11 Pro Max 64GB,34000,31400.0,2019/09,9.0,A13 Bionic,124.1,,64 GB,,,,6.5 inch,2688x1242 pixels,456 ppi,OLED,1200 萬畫素,1.8,226 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11_pro_max/15159
SAMSUNG Galaxy S20 Ultra 5G 256GB,32300,31500.0,2020/03,3.0,Snapdragon 865,100.0,12 GB,256 GB,microSD,1 TB,5000 mAh,6.9 inch,3200x1400 pixels,506 ppi,Dynamic AMOLED 2X,1.08 億畫素,1.8,222 g,IP68,,https://www.sogi.com.tw/products/samsung_galaxy_s20_ultra/15293
SAMSUNG Galaxy Note 10+ 512GB,32000,,2019/08,10.0,Snapdragon 855,80.4,12 GB,512 GB,microSD,1 TB,4300 mAh,6.8 inch,3040x1440 pixels,495 ppi,Dynamic AMOLED,1200 萬畫素,1.5,196 g,IP68,,https://www.sogi.com.tw/products/samsung_galaxy_note_10_plus/15042
SAMSUNG Galaxy Note 9 黑色沙漠限量版,31400,,2018/08,22.0,Exynos 9810,59.8,6 GB,128 GB,microSD,512 GB,4000 mAh,6.4 inch,2960x1440 pixels,514 ppi,Super AMOLED,1200 萬畫素,1.5,201 g,IP68,Yes,https://www.sogi.com.tw/products/samsung_galaxy_note_9/14079
Google Pixel 3 XL 64GB,31100,,2018/11,19.0,Snapdragon 845,63.7,4 GB,64 GB,,,3430 mAh,6.3 inch,2960x1440 pixels,522 ppi,OLED,1220 萬畫素,1.8,184 g,IP68,,https://www.sogi.com.tw/products/google_pixel_3_xl/14284
SAMSUNG Galaxy S10+ 陶瓷版 1TB,30990,,2019/03,15.0,Exynos 9820,78.6,12 GB,1 TB,microSD,512 GB,4100 mAh,6.4 inch,3040x1440 pixels,526 ppi,Dynamic AMOLED,1200 萬畫素,1.5,198 g,IP68,Yes,https://www.sogi.com.tw/products/samsung_galaxy_s10_plus/14575
Google Pixel 3 128GB,30700,,2018/11,19.0,Snapdragon 845,63.7,4 GB,128 GB,,,2915 mAh,5.5 inch,2160x1080 pixels,439 ppi,OLED,1220 萬畫素,1.8,148 g,IP68,,https://www.sogi.com.tw/products/google_pixel_3/14283
Apple iPhone 11 Pro 64GB,30690,27567.0,2019/09,9.0,A13 Bionic,124.1,,64 GB,,,,5.8 inch,2436x1125 pixels,463 ppi,OLED,1200 萬畫素,1.8,188 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11_pro/15157
LG V60 ThinQ,30300,,2020/06,0.0,Snapdragon 865,100.0,8 GB,256 GB,microSD,2 TB,5000 mAh,6.8 inch,2460x1080 pixels,395 ppi,OLED,6400 萬畫素,1.8,214 g,IP68,,https://www.sogi.com.tw/products/lg_v60_thinq/15318
ASUS ROG Phone II ZS660KL 旗艦版,29500,,2019/11,7.0,Snapdragon 855+,,12 GB,1 TB,,,6000 mAh,6.59 inch,2340x1080 pixels,391 ppi,AMOLED,4800 萬畫素,1.79,240 g,,Yes,https://www.sogi.com.tw/products/asus_rog_phone_2_zs660kl/15123
Apple iPhone XS Max 256GB,28800,20386.0,2018/09,21.0,A12 Bionic,96.1,,256 GB,,,,6.5 inch,2688x1242 pixels,456 ppi,OLED,1200 萬畫素,1.8,208 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_xs_max/14167
Apple iPhone XS 512GB,28790,,2018/09,21.0,A12 Bionic,96.1,,512 GB,,,,5.8 inch,2436x1125 pixels,463 ppi,OLED,1200 萬畫素,1.8,177 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_xs/14168
SAMSUNG Galaxy S10+ 陶瓷版 512GB,27800,15500.0,2019/03,15.0,Exynos 9820,78.6,8 GB,512 GB,microSD,512 GB,4100 mAh,6.4 inch,3040x1440 pixels,526 ppi,Dynamic AMOLED,1200 萬畫素,1.5,198 g,IP68,Yes,https://www.sogi.com.tw/products/samsung_galaxy_s10_plus/14574
Google Pixel 3 64GB,27700,,2018/11,19.0,Snapdragon 845,63.7,4 GB,64 GB,,,2915 mAh,5.5 inch,2160x1080 pixels,439 ppi,OLED,1220 萬畫素,1.8,148 g,IP68,,https://www.sogi.com.tw/products/google_pixel_3/14282
Google Pixel 4 XL 128GB,27400,,2019/10,8.0,Snapdragon 855,80.4,6 GB,128 GB,,,3700 mAh,6.3 inch,2960x1440 pixels,522 ppi,OLED,1220 萬畫素,1.7,193 g,IP68,,https://www.sogi.com.tw/products/google_pixel_4_xl/15208
SAMSUNG Galaxy S20+ 5G,27300,25250.0,2020/03,3.0,Snapdragon 865,100.0,12 GB,128 GB,microSD,1 TB,4500 mAh,6.7 inch,3200x1400 pixels,521 ppi,Dynamic AMOLED 2X,1200 萬畫素,1.8,186 g,IP68,,https://www.sogi.com.tw/products/samsung_galaxy_s20_plus/15291
Apple iPhone 11 256GB,27000,24998.0,2019/09,9.0,A13 Bionic,124.1,,256 GB,,,,6.1 inch,1792x828 pixels,324 ppi,IPS,1200 萬畫素,1.8,194 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11/15152
Apple iPhone XS Max 64GB,25800,19250.0,2018/09,21.0,A12 Bionic,96.1,,64 GB,,,,6.5 inch,2688x1242 pixels,456 ppi,OLED,1200 萬畫素,1.8,208 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_xs_max/14165
Google Pixel 4 XL 64GB,25500,16800.0,2019/10,8.0,Snapdragon 855,80.4,6 GB,64 GB,,,3700 mAh,6.3 inch,2960x1440 pixels,522 ppi,OLED,1220 萬畫素,1.7,193 g,IP68,,https://www.sogi.com.tw/products/google_pixel_4_xl/15207
