手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
Nokia 3310 2017 3G,1100,,2017/11,31.0,,,128 MB,64 MB,microSD,32 GB,1200 mAh,2.4 inch,320x240 pixels,167 ppi,,200 萬畫素,,84.9 g,,Yes,https://www.sogi.com.tw/products/nokia_3310_2017_3g/13531
Nokia 8110 4G,1900,,2018/07,23.0,Snapdragon 205,,512 MB,4 GB,microSD,64 GB,1500 mAh,2.4 inch,320x240 pixels,167 ppi,,200 萬畫素,,117 g,IP52,Yes,https://www.sogi.com.tw/products/nokia_8110/13757
SUGAR Y12s,2000,,2018/07,23.0,MT6739WW,,1 GB,16 GB,microSD,128 GB,2500 mAh,5.45 inch,960x480 pixels,197 ppi,IPS,800 萬畫素,,157 g,,Yes,https://www.sogi.com.tw/products/sugar_y12s/13966
SUGAR Y8 MAX,2250,,2018/02,28.0,Snapdragon 425,,2 GB,16 GB,microSD,128 GB,4000 mAh,5.45 inch,1440x720 pixels,295 ppi,,800 萬畫素,2.0,170 g,,Yes,https://www.sogi.com.tw/products/sugar_y8_max/13716
SUGAR Y8 MAX Pro,2400,,2019/03,15.0,Snapdragon 425,,3 GB,32 GB,microSD,128 GB,4000 mAh,5.45 inch,1440x720 pixels,295 ppi,IPS,800 萬畫素,2.0,170 g,,Yes,https://www.sogi.com.tw/products/sugar_y8_max_pro/14621
ASUS ZenFone Live (L2) ZA550KL,2400,,2019/05,13.0,Snapdragon 425,,2 GB,16 GB,microSD,2 TB,3000 mAh,5.5 inch,1440x720 pixels,293 ppi,IPS,800 萬畫素,2.0,140 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_live_l2/14752
LG K9,2490,,2018/10,20.0,Snapdragon 210,,2 GB,16 GB,microSD,32 GB,2500 mAh,5 inch,1280x720 pixels,294 ppi,,800 萬畫素,,135 g,,Yes,https://www.sogi.com.tw/products/lg_k9/14268
SUGAR P1,2570,,2018/09,21.0,MT6739WW,,3 GB,32 GB,microSD,128 GB,3000 mAh,5.7 inch,1440x720 pixels,282 ppi,,1300 萬畫素,2.0,146 g,,Yes,https://www.sogi.com.tw/products/sugar_p1/14081
HUAWEI Y6 2018,2700,2500.0,2018/06,24.0,Snapdragon 425,,2 GB,16 GB,microSD,256 GB,3000 mAh,5.7 inch,1440x720 pixels,282 ppi,IPS,1300 萬畫素,,150 g,,Yes,https://www.sogi.com.tw/products/huawei_y6_2018/13894
Nokia 2720 Flip,2790,,2019/10,8.0,Snapdragon 205,,512 MB,4 GB,microSD,32 GB,1500 mAh,2.8 inch,320x240 pixels,143 ppi,,200 萬畫素,,118 g,,Yes,https://www.sogi.com.tw/products/nokia_2720_flip/15135
koobee S16,2800,,2019/05,13.0,Helio A22,,3 GB,32 GB,microSD,128 GB,3400 mAh,6.1 inch,1560x720 pixels,282 ppi,IPS,1300 萬畫素,2.0,,,Yes,https://www.sogi.com.tw/products/koobee_s16/14787
SUGAR Y12,2800,,2018/01,29.0,Snapdragon 425,,3 GB,32 GB,microSD,128 GB,3070 mAh,5.45 inch,1440x720 pixels,295 ppi,,800 萬畫素,2.0,158 g,,Yes,https://www.sogi.com.tw/products/sugar_y12/13689
SUGAR C13,2800,,2019/02,16.0,Snapdragon 450,,3 GB,32 GB,microSD,128 GB,4000 mAh,5.93 inch,1512x720 pixels,282 ppi,IPS,1200 萬畫素,2.0,158 g,,Yes,https://www.sogi.com.tw/products/sugar_c13/14523
ASUS ZenFone Max (M1) ZB555KL 32GB,2880,,2018/06,24.0,Snapdragon 425,,2 GB,32 GB,microSD,256 GB,4000 mAh,5.5 inch,1440x720 pixels,293 ppi,,1300 萬畫素,2.0,150 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_m1/13776
SUGAR C11s,2899,2100.0,2017/11,31.0,Snapdragon 430,14.4,3 GB,32 GB,microSD,128 GB,3000 mAh,5.7 inch,1440x720 pixels,282 ppi,,1300 萬畫素,2.0,160 g,,Yes,https://www.sogi.com.tw/products/sugar_c11s/13518
