手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
小米 小米 MIX 2 64GB,7990,,2017/10,32.0,Snapdragon 835,44.7,6 GB,64 GB,,,3400 mAh,5.99 inch,2160x1080 pixels,403 ppi,,1200 萬畫素,2.0,185 g,,,https://www.sogi.com.tw/products/xiaomi_mix_2/13493
SHARP AQUOS V,4500,,2019/11,7.0,Snapdragon 835,44.7,4 GB,64 GB,microSD,256 GB,3090 mAh,5.9 inch,2160x1080 pixels,409 ppi,IPS,1300 萬畫素,2.0,173 g,,Yes,https://www.sogi.com.tw/products/sharp_aquos_v/15144
Nokia 8.1,6700,,2018/12,18.0,Snapdragon 710,35.7,4 GB,64 GB,microSD,400 GB,3500 mAh,6.18 inch,2246x1080 pixels,403 ppi,IPS,1200 萬畫素,1.8,180 g,,Yes,https://www.sogi.com.tw/products/nokia_8_1/14366
vivo V15 Pro,7800,4900.0,2019/05,13.0,Snapdragon 675,34.5,8 GB,128 GB,microSD,256 GB,3700 mAh,6.39 inch,2340x1080 pixels,403 ppi,Super AMOLED,1200 萬畫素,1.8,185 g,,Yes,https://www.sogi.com.tw/products/vivo_v15_pro/14581
SAMSUNG Galaxy A60,6800,6433.0,2019/06,12.0,Snapdragon 675,34.5,6 GB,128 GB,microSD,512 GB,3500 mAh,6.3 inch,2340x1080 pixels,409 ppi,PLS,3200 萬畫素,1.7,168 g,,,https://www.sogi.com.tw/products/samsung_galaxy_a60/14781
OPPO R11s,6990,4400.0,2017/12,30.0,Snapdragon 660,29.3,4 GB,64 GB,microSD,256 GB,3205 mAh,6.01 inch,2160x1080 pixels,402 ppi,AMOLED,2000 萬畫素,1.7,153 g,,Yes,https://www.sogi.com.tw/products/oppo_r11s/13597
SAMSUNG Galaxy A9 (2018),7500,6645.0,2018/12,18.0,Snapdragon 660,29.3,6 GB,128 GB,microSD,512 GB,3800 mAh,6.3 inch,2220x1080 pixels,392 ppi,Super AMOLED,2400 萬畫素,1.7,183 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a9_2018/14294
Nokia 7.2,7700,,2019/10,8.0,Snapdragon 660,29.3,6 GB,128 GB,microSD,512 GB,3500 mAh,6.3 inch,2280x1080 pixels,400 ppi,IPS,4800 萬畫素,1.79,180 g,,Yes,https://www.sogi.com.tw/products/nokia_7_2/15130
小米 紅米 Note 7 64GB,5350,4200.0,2019/04,14.0,Snapdragon 660,29.3,4 GB,64 GB,microSD,256 GB,4000 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,4800 萬畫素,1.8,186 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_7/14483
ASUS ZenFone Max Pro M2 ZB631KL (6GB/64GB),6200,,2020/06,0.0,Snapdragon 660,29.3,6 GB,64 GB,microSD,2 TB,5000 mAh,6.3 inch,2280x1080 pixels,400 ppi,IPS,1200 萬畫素,1.8,175 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_pro_m2/15420
小米 紅米 Note 7 128GB,5990,5000.0,2019/04,14.0,Snapdragon 660,29.3,4 GB,128 GB,microSD,256 GB,4000 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,4800 萬畫素,1.8,186 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_7/14482
vivo Y50 (6GB/128GB),7500,,,,Snapdragon 665,27.6,6 GB,128 GB,microSD,256 GB,5000 mAh,6.53 inch,2340x1080,4 ppi,LCD,1300 萬畫素,2.2,197 g,,Yes,https://www.sogi.com.tw/products/vivo_y50/15412
小米 紅米 Note 8T 32GB,3800,,2019/11,7.0,Snapdragon 665,27.6,3 GB,32 GB,microSD,256 GB,4000 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,4800 萬畫素,1.79,199.2 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_8t/15236
